2016-04-06 01:48:21,927 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,005 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,029 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,078 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,130 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,180 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,230 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,281 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,333 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,383 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,430 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,476 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,594 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,610 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,744 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,761 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,779 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,872 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,889 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:22,905 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:23,003 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:12,133 - opened new WebSocketChatHandler
2016-04-06 01:50:12,510 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:12,528 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:12,635 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:12,671 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:12,719 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:12,768 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:12,845 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:12,931 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:12,969 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:13,021 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:13,068 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:13,151 - message: {u'r': 0, u'l': {u'y': -0.2, u'x': 0.1}}
2016-04-06 01:50:13,169 - message: {u'r': 0, u'l': {u'y': -0.2, u'x': 0.2}}
2016-04-06 01:50:13,219 - message: {u'r': 0, u'l': {u'y': -0.2, u'x': 0.3}}
2016-04-06 01:50:13,266 - message: {u'r': 0, u'l': {u'y': -0.2, u'x': 0.5}}
2016-04-06 01:50:13,319 - message: {u'r': 0, u'l': {u'y': -0.2, u'x': 1}}
2016-04-06 01:50:13,374 - message: {u'r': 0, u'l': {u'y': -0.2, u'x': 1}}
2016-04-06 01:50:13,418 - message: {u'r': 0, u'l': {u'y': -0.2, u'x': 1}}
2016-04-06 01:50:13,468 - message: {u'r': 0, u'l': {u'y': -0.2, u'x': 1}}
2016-04-06 01:50:13,518 - message: {u'r': 0, u'l': {u'y': 0, u'x': -1}}
2016-04-06 01:50:13,568 - message: {u'r': 0, u'l': {u'y': -0.3, u'x': -1}}
2016-04-06 01:50:13,616 - message: {u'r': 0, u'l': {u'y': -0.3, u'x': -1}}
2016-04-06 01:50:13,711 - message: {u'r': 0, u'l': {u'y': -0.3, u'x': -1}}
2016-04-06 01:50:13,742 - message: {u'r': 0, u'l': {u'y': -0.3, u'x': -1}}
2016-04-06 01:50:13,765 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:13,818 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:13,869 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:13,920 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:13,972 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:14,018 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:14,065 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:14,118 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:14,170 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:14,219 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:14,278 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:14,340 - message: {u'r': 0, u'l': {u'y': 0, u'x': -0.7}}
2016-04-06 01:50:14,372 - message: {u'r': 0, u'l': {u'y': 0, u'x': -0.9}}
2016-04-06 01:50:14,418 - message: {u'r': 0, u'l': {u'y': 0.1, u'x': -1}}
2016-04-06 01:50:14,468 - message: {u'r': 0, u'l': {u'y': 0.1, u'x': -1}}
2016-04-06 01:50:14,522 - message: {u'r': 0, u'l': {u'y': 0.1, u'x': -1}}
2016-04-06 01:50:14,568 - message: {u'r': 0, u'l': {u'y': 0.2, u'x': -1}}
2016-04-06 01:50:14,623 - message: {u'r': 0, u'l': {u'y': 0, u'x': -1}}
2016-04-06 01:50:14,668 - message: {u'r': 0, u'l': {u'y': 0.1, u'x': 0.5}}
2016-04-06 01:50:14,723 - message: {u'r': 0, u'l': {u'y': 0.1, u'x': 1}}
2016-04-06 01:50:14,771 - message: {u'r': 0, u'l': {u'y': 0, u'x': 1}}
2016-04-06 01:50:14,818 - message: {u'r': 0, u'l': {u'y': 0, u'x': 1}}
2016-04-06 01:50:14,868 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:14,918 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:14,969 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,014 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,071 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,122 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,169 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,218 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,273 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,319 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,377 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,536 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,553 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,570 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,588 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,661 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,678 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,794 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,812 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,830 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,925 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,943 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:15,973 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:50:16,056 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
